R14 R15 R16 R17,4k7,Stackpole,RMCF0402FT4K70,RES 4.7K OHM 1/16W 1% 0402,4,,
R18 R27 R28 R74,1k8,Stackpole,RMCF0402JT1K80,RES TF 1.8K OHM 5% 1/16W 0402,4,,
R19 R30 R31 R32 R33 R34 R77 R78 R79 R80 R81 R86 R87 R88 R89 R90 R91 R94 R96 R98 R99 R100,39,Stackpole,RMCF0402JT39R0,RES 39 OHM 1/16W 5% 0402 SMD,22,,
R20 R21 R22 R23 R57 R58 R62,0,Stackpole,RMCF0402ZT0R00,RES 0.0 OHM 1/16W 0402 SMD,7,,
R46 R55,162k,Stackpole,RMCF0402FT162K,RES TF 1/16W 162K OHM 1% 0402,2,,
R47,330k,Stackpole,RMCF0402FT330K,RES TF 1/16W 330K OHM 1% 0402,1,,
R56,715k,Stackpole,RMCF0402FT715K,RES TF 1/16W 715K OHM 1% 0402,1,,
R69,12k,Rohm,MCR01MRTF1202,RES 12.0K OHM 1/16W 1% 0402 SMD,1,,
SW1 SW2,DFU,TE Connectivity,FSMRA3JH,SWITCH TACTILE SPST-NO 0.05A 12V,2,,
T1 T2,MIX_IN_BALUN,Anaren,B0310J50100AHF,Ultra Low Profile 0805 Balun 50 to 100 ohm Balanced,2,,
T3 T4,RX_BALUN,Johanson Technology,2500BL14M100T,BALUN CERAMIC CHIP WIMAX 2.5GHZ,2,,
U1 U2 U5 U6 U7 U10 U11,SKY13350,Skyworks,SKY13350-385LF,0.01-6.0 GHz GaAs SPDT Switch,7,,
U3,RX_LOWPASS_FILTER,AVX,LP0603A1880ANTR,FILTER LOW PASS 1880MHZ 0603 SMD,1,,
U4,RFFC5072,RFMD,RFFC5072TR7,WIDEBAND SYNTHESIZER/VCO WITH INTEGRATED 6GHz MIXER,1,,
U8,RX_HIGHPASS_FILTER,TDK,DEA162400HT-8004B1,FILTER HIGHPASS WLAN&BLUETOOTH,1,,
U9 U12 U14,SKY13317,Skyworks,SKY13317-373LF,20 MHz-6.0 GHz pHEMT GaAs SP3T Switch,3,,
U13 U25,MGA-81563,Avago,MGA-81563-TR1G,0.1-6 GHz 3 V, 14 dBm Amplifier,2,,
U15,LXES1TBCC2-004,Murata,LXES1TBCC2-004,ESD Suppressors 0.55pF 6V 2ch,1,,
U17,MAX2837,Maxim,MAX2837ETM+,IC TXRX 2.3GHZ-2.7GHZ 48TQFN,1,,
U18,MAX5864,Maxim,MAX5864ETM+,IC ANLG FRONT END 22MSPS 48-TQFN,1,,
U19,SI5351C,Silicon Laboratories Inc,SI5351C-B-GM,IC CLK GENERATOR 160MHZ 20QFN,1,,
U20,W25Q80BV,Winbond,W25Q80BVSSIG,IC FLASH 8MBIT 8SOIC,1,,
U21,TPS62410,Texas Instruments,TPS62410DRCR,IC BUCK SYNC DUAL ADJ 0.8A 10SON,1,,
U23,LPC4320FBD144,NXP,LPC4320FBD144,551,IC MCU 32BIT 144LQFP,1,,
U24,GSG-XC2C64A-7VQG100C,Xilinx,XC2C64A-7VQG100C,IC CR-II CPLD 64MCELL 100-VQFP,1,,
X1,GSG-XTAL4PIN,AVX,CX3225GB25000D0HEQZ1,CRYSTAL 25.000MHZ 8PF SMD,1,,
X2,MCU_XTAL,TXC,7V-12.000MAAE-T,CRYSTAL 12.000 MHZ 12PF SMD,1,,
X3,RTC_XTAL,Abracon,AB26TRQ-32.768KHZ-T,CRYSTAL 32.768KHZ 12.5PF SMD,1,,
